id,postcode,latitude,longitude
725000,NE9 7AF,54.92295355,-1.586428055
725001,NE9 7AG,54.92295355,-1.586428055
725002,NE9 7AH,54.92343341,-1.57188145
725003,NE9 7AJ,54.92808258,-1.56771253
725004,NE9 7AL,54.92888242,-1.565207192
725005,NE9 7AN,54.92945127,-1.561081
725006,NE9 7AP,54.92482964,-1.572834033
725007,NE9 7AQ,54.92440872,-1.573244169
725008,NE9 7AR,54.92396578,-1.572499916
725009,NE9 7AS,54.92200238,-1.573815694
725010,NE9 7AT,54.92449425,-1.572010621
725011,NE9 7AU,54.92663737,-1.565637091
725012,NE9 7AW,54.92266328,-1.585635309
725013,NE9 7AX,54.9272612,-1.564179188
725014,NE9 7AY,54.92756611,-1.564004246
725015,NE9 7AZ,54.92266328,-1.585635309
725016,NE9 7BA,54.92811108,-1.565621223
725017,NE9 7BB,54.92777334,-1.566670352
725018,NE9 7BD,54.92828064,-1.565291702
725019,NE9 7BE,54.92893631,-1.567718985
725020,NE9 7BH,54.92740336,-1.56876529
725021,NE9 7BJ,54.92529406,-1.572017739
725022,NE9 7BL,54.92242604,-1.5716269
725023,NE9 7BN,54.92191461,-1.571850759
725024,NE9 7BP,54.92068506,-1.57230065
725025,NE9 6BU,54.9371386,-1.601266238
725026,NE9 6BW,54.935816,-1.605964807
725027,NE9 6BX,54.93641726,-1.600524201
725028,NE9 6BY,54.9369524,-1.602032865
725029,NE9 6DA,54.93593365,-1.601028431
725030,NE9 6DD,54.93601902,-1.602401049
725031,NE9 6DE,54.93617372,-1.603118
725032,NE9 7BR,54.9235188,-1.583535762
725033,NE9 7BS,54.92932689,-1.558866788
725034,NE9 7BT,54.92908861,-1.560070969
725035,NE9 7BU,54.93046765,-1.558885
725036,NE9 7BW,54.92162037,-1.572509164
725037,NE9 7BX,54.93018834,-1.563507744
725038,NE9 7BY,54.93059327,-1.563659417
725039,NE9 7BZ,54.9231916,-1.585083794
725040,NE9 7DA,54.92972006,-1.563841
725041,NE9 7DB,54.92945127,-1.565965706
725042,NE9 7DD,54.93075597,-1.566435438
725043,NE9 7DE,54.93273708,-1.565072002
725044,NE9 7DF,54.9238937,-1.582798558
725045,NE9 7DG,54.92327361,-1.582789368
725046,NE9 7DH,54.93189019,-1.561959944
725047,NE9 7DJ,54.93200312,-1.560881903
725048,NE9 7DL,54.93254132,-1.560610738
725049,NE9 7DN,54.93113054,-1.565635523
725050,NE9 7DP,54.93171283,-1.562617317
725051,NE9 7DQ,54.9331876,-1.570466975
725052,NE9 7DR,54.93315545,-1.571544162
725053,NE9 7DU,54.92196224,-1.58297455
725054,NE9 7DW,54.92110964,-1.583295397
725055,NE9 7DX,54.92213805,-1.584454939
725056,NE9 7DY,54.92033892,-1.583911814
725057,NE9 7DZ,54.92088149,-1.584904726
725058,NE9 7EA,54.91954719,-1.583639156
725059,NE9 7EB,54.91984236,-1.585867093
725060,NE9 7ED,54.91913017,-1.585203559
725061,NE9 7EE,54.92423997,-1.576382153
725062,NE9 7EF,54.91942389,-1.584373681
725063,NE9 7EG,54.91992774,-1.587192328
725064,NE9 7EH,54.92323293,-1.576347
725065,NE9 7EJ,54.92185061,-1.579262415
725066,NE9 7EL,54.92296509,-1.579313204
725067,NE9 7EN,54.92342289,-1.576577964
725068,NE9 7EP,54.92403714,-1.577944
725069,NE9 7EQ,54.92399519,-1.578350687
725070,NE9 7ER,54.92280221,-1.578987251
725071,NE9 7ES,54.92339101,-1.577748498
725072,NE9 7ET,54.92255683,-1.578194093
725073,NE9 7EU,54.91977771,-1.577521087
725074,NE9 7EW,54.91811958,-1.586633602
725075,NE9 7EX,54.91921105,-1.577497
725076,NE9 7EY,54.91822556,-1.578239366
725077,NE9 7EZ,54.91913819,-1.587559228
